City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Ipubi,BR,83.23,broken clouds,-7.6519,-40.1489,37 hostel
404,Ixtapa,MX,80.22,clear sky,20.7,-105.2,hotel la terminal
407,Maraba,BR,84.38,thunderstorm,-5.3686,-49.1178,Hotel Del Principe
410,Diamantino,BR,88.16,overcast clouds,-14.4086,-56.4461,Hotel Delta
412,Jeremie,HT,82.0,scattered clouds,18.65,-74.1167,Auberge’Inn
425,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
426,Meulaboh,ID,75.31,overcast clouds,4.1363,96.1285,Kost Pria
433,Ahuimanu,US,80.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
436,West Bay,KY,85.06,clear sky,19.3667,-81.4167,Calypso Cove
440,Viedma,AR,80.85,clear sky,-40.8135,-62.9967,Hotel Cristal
443,Katobu,ID,75.45,overcast clouds,-4.9408,122.5276,La Ode Husein
445,Waingapu,ID,81.01,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
447,Bubaque,GW,82.99,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
448,Honiara,SB,81.91,scattered clouds,-9.4333,159.95,Heritage Park Hotel
449,Mogadishu,SO,78.76,light rain,2.0371,45.3438,Hotel Juba
450,Zabid,YE,76.6,clear sky,14.1951,43.3152,مغرب التريبه
455,Sinnamary,GF,80.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
458,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
464,Lai,TD,78.6,broken clouds,9.3952,16.2989,Auberge la Citadelle
470,Tsabong,BW,82.08,scattered clouds,-26.0217,22.401,Springbok Motel
472,Vanimo,PG,76.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
475,Nong Kung Si,TH,76.82,clear sky,16.65,103.3,บ้านเพชร
484,Am Timan,TD,78.4,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
487,Bajil,YE,79.7,clear sky,15.0584,43.2851,فندق حضرموت
492,San Policarpo,PH,81.73,broken clouds,12.1791,125.5072,Agapita M. Nicart
495,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
509,Bac Lieu,VN,77.9,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
516,Moron,AR,89.35,clear sky,-34.6534,-58.6198,Hotel Morón
522,Kailua,US,80.49,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
525,Unai,BR,76.8,light rain,-16.3575,-46.9061,Hotel Regente
