City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Mizdah,LY,31.4451,12.9801,57.69,34,0,5.61,clear sky
165,Gizo,SB,-8.103,156.8419,83.16,72,96,7.67,overcast clouds
166,Adjumani,UG,3.3779,31.7909,68.5,93,100,3.29,overcast clouds
167,Flinders,AU,-34.5833,150.8552,55.18,73,19,4.0,few clouds
168,Lorengau,PG,-2.0226,147.2712,81.32,75,97,1.77,overcast clouds
169,Tabuk,PH,17.4189,121.4443,72.3,94,17,1.45,few clouds
170,Bekovo,RU,52.4663,43.712,28.62,69,100,5.57,overcast clouds
171,San Rafael Del Sur,NI,11.8485,-86.4384,81.57,73,98,10.96,overcast clouds
172,Fortuna,US,40.5982,-124.1573,60.93,66,0,3.44,clear sky
173,Sitka,US,57.0531,-135.33,48.09,87,75,0.0,broken clouds
174,Touros,BR,-5.1989,-35.4608,78.42,73,25,13.53,scattered clouds
175,Dikson,RU,73.5069,80.5464,-8.91,99,15,5.3,few clouds
176,Kroonstad,ZA,-27.6504,27.2349,63.55,64,16,5.59,few clouds
177,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,69,100,16.11,overcast clouds
178,Port Macquarie,AU,-31.4333,152.9167,65.89,66,2,11.81,clear sky
179,Kodiak,US,57.79,-152.4072,42.31,75,40,6.91,scattered clouds
180,Carnarvon,AU,-24.8667,113.6333,69.98,75,0,13.6,clear sky
181,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,89,100,12.66,moderate rain
182,Stilfontein,ZA,-26.8449,26.7683,68.25,47,10,6.22,clear sky
183,Littleton,US,39.6133,-105.0166,37.69,46,20,5.75,light rain
184,Izhma,RU,65.0083,53.9113,-9.69,100,88,3.22,overcast clouds
185,Sola,VU,-13.8833,167.55,77.67,100,0,0.0,clear sky
186,Kaitangata,NZ,-46.2817,169.8464,58.96,72,100,2.86,overcast clouds
187,Buta,CD,2.7858,24.73,71.4,87,96,1.1,light rain
188,Koslan,RU,63.4564,48.8989,5.83,97,98,1.97,overcast clouds
189,Chabahar,IR,25.2919,60.643,78.62,70,0,5.53,clear sky
190,College,US,64.8569,-147.8028,17.55,90,100,5.75,overcast clouds
191,Hofn,IS,64.2539,-15.2082,46.08,95,100,17.56,overcast clouds
192,Sisimiut,GL,66.9395,-53.6735,19.02,91,100,8.9,overcast clouds
193,Namibe,AO,-15.1961,12.1522,66.42,81,24,10.31,few clouds
194,Ostrovnoy,RU,68.0531,39.5131,37.94,79,100,19.98,light rain
195,Zuenoula,CI,7.4292,-6.0431,78.57,64,64,3.47,broken clouds
196,Kyaikkami,MM,16.08,97.5675,77.31,86,100,5.26,overcast clouds
197,Tecoanapa,MX,16.5167,-98.75,83.82,71,5,7.34,clear sky
198,Airai,TL,-8.9266,125.4092,61.16,88,81,1.81,broken clouds
199,Talcahuano,CL,-36.7167,-73.1167,67.68,64,0,13.8,clear sky
200,Gat,IL,31.61,34.7642,66.88,100,11,4.27,few clouds
201,Adre,TD,13.4667,22.2,71.15,23,14,12.35,few clouds
202,Rampura,IN,30.25,75.2333,62.8,47,0,6.98,clear sky
203,Ha Tinh,VN,18.3333,105.9,72.73,94,12,1.74,few clouds
204,Mankono,CI,8.0586,-6.1897,78.12,60,44,2.66,scattered clouds
205,Shepsi,RU,44.0361,39.1489,51.87,69,3,5.91,clear sky
206,Ranaghat,IN,23.1833,88.5833,65.35,52,0,6.33,clear sky
207,Saint-Augustin,CA,51.226,-58.6502,23.32,81,94,7.16,overcast clouds
208,Cidreira,BR,-30.1811,-50.2056,74.86,50,2,11.01,clear sky
209,Le Pradet,FR,43.1066,6.0172,62.29,83,100,8.05,overcast clouds
210,Kidal,ML,18.4411,1.4078,75.34,15,100,11.01,overcast clouds
211,Scarborough,GB,54.2797,-0.4044,46.9,92,90,5.99,overcast clouds
212,Mahebourg,MU,-20.4081,57.7,71.89,60,40,8.05,scattered clouds
213,Sabha,LY,27.0377,14.4283,62.85,34,100,2.98,overcast clouds
214,Waipawa,NZ,-41.4122,175.5153,65.7,52,0,5.95,clear sky
215,Fairbanks,US,64.8378,-147.7164,17.56,90,100,5.75,overcast clouds
216,Tautira,PF,-17.7333,-149.15,78.4,79,91,3.96,light rain
217,Tuatapere,NZ,-46.1333,167.6833,65.48,58,91,2.48,overcast clouds
218,Villa De Cura,VE,10.0386,-67.4894,88.45,86,38,1.28,scattered clouds
219,Luderitz,NA,-26.6481,15.1594,59.27,82,5,10.22,clear sky
220,San Vicente,AR,-26.6167,-54.1333,70.77,53,0,2.57,clear sky
221,Codrington,AU,-38.2667,141.9667,49.82,67,87,13.31,overcast clouds
222,Yuanping,CN,38.7153,112.7575,37.22,44,22,0.87,few clouds
223,Nikolskoye,RU,59.7035,30.7861,33.8,84,100,6.24,overcast clouds
224,Namtsy,RU,62.7161,129.6658,-43.44,100,75,0.87,broken clouds
225,Ridgecrest,US,35.6225,-117.6709,61.65,24,0,8.99,clear sky
226,Hohhot,CN,40.8106,111.6522,23.29,93,0,2.24,clear sky
227,Springdale,US,36.1867,-94.1288,36.73,89,100,10.36,overcast clouds
228,Jining,CN,35.405,116.5814,45.25,65,4,4.14,clear sky
229,Pevek,RU,69.7008,170.3133,-6.52,93,100,1.59,overcast clouds
230,Brae,GB,60.3964,-1.353,50.92,87,100,43.37,light rain
231,Ede,NL,52.0333,5.6583,52.92,94,100,11.5,light rain
232,Palauig,PH,15.435,119.9045,79.93,72,4,4.97,clear sky
233,Naifaru,MV,5.4444,73.3657,81.23,77,100,9.22,overcast clouds
234,Inuvik,CA,68.3499,-133.7218,7.66,85,20,4.61,few clouds
235,Looc,PH,12.2605,121.9926,78.51,89,41,10.67,scattered clouds
236,Klaksvik,FO,62.2266,-6.589,50.92,89,100,35.84,light rain
237,Tornio,FI,65.8481,24.1466,21.22,70,69,3.78,broken clouds
238,Port-Gentil,GA,-0.7193,8.7815,80.56,83,40,10.36,scattered clouds
239,Hvide Sande,DK,56.0045,8.1294,50.31,87,100,29.89,overcast clouds
240,Staraya Russa,RU,57.9944,31.3608,29.89,92,81,8.77,broken clouds
241,Grants,US,35.1473,-107.8514,46.63,21,0,9.22,clear sky
242,Guerrero Negro,MX,27.9769,-114.0611,73.45,25,17,5.61,few clouds
243,Frutal,BR,-20.0247,-48.9406,86.25,40,100,3.91,overcast clouds
244,Takoradi,GH,4.8845,-1.7554,79.36,81,11,8.41,few clouds
245,Grindavik,IS,63.8424,-22.4338,51.75,93,100,11.5,light intensity drizzle
246,Werda,BW,-25.2667,23.2833,79.03,32,29,13.27,scattered clouds
247,Namatanai,PG,-3.6667,152.4333,80.96,70,98,6.76,overcast clouds
248,Krasnoselkup,RU,65.7,82.4667,-16.71,85,3,10.11,clear sky
249,Basoko,CD,1.2391,23.616,71.29,96,100,3.98,overcast clouds
250,Healesville,AU,-37.65,145.5167,48.9,99,100,1.79,light rain
251,Makakilo City,US,21.3469,-158.0858,79.12,56,0,10.36,clear sky
252,Sarab,IR,38.6066,44.9883,44.1,53,0,1.1,clear sky
253,Ascension,US,30.2169,-90.9001,52.0,76,100,12.66,overcast clouds
254,Dalby,AU,-27.1833,151.2667,64.98,57,4,1.01,clear sky
255,Salalah,OM,17.0151,54.0924,75.29,53,0,4.61,clear sky
256,La Cruz,MX,23.9167,-106.9,80.08,52,0,9.55,clear sky
257,Dali,CN,25.7,100.1833,45.61,80,4,3.85,clear sky
258,San Felipe,VE,10.3399,-68.7425,77.54,93,97,4.29,overcast clouds
259,Druzhba,UA,52.0428,33.9453,33.21,91,48,9.15,scattered clouds
260,Coahuayana,MX,18.7333,-103.6833,88.41,50,57,6.29,broken clouds
261,Xuanhua,CN,40.6103,115.0447,36.5,52,13,1.43,few clouds
262,Pierre,US,44.3683,-100.351,21.85,83,100,18.41,overcast clouds
263,Summerville,US,33.0185,-80.1757,76.95,85,75,8.05,broken clouds
264,Frederico Westphalen,BR,-27.3592,-53.3944,68.99,67,0,2.46,clear sky
265,Passy,FR,45.9203,6.6877,48.18,81,100,5.75,light rain
266,Kulhudhuffushi,MV,6.6221,73.07,81.01,77,97,9.64,overcast clouds
267,Clyde River,CA,70.4692,-68.5914,-3.77,71,20,12.66,few clouds
268,Biryusinsk,RU,55.9634,97.8235,36.79,74,100,11.81,overcast clouds
269,Cayambe,EC,0.05,-78.1333,65.46,82,98,2.17,light rain
270,Vila Do Maio,CV,15.1333,-23.2167,75.99,73,34,13.02,scattered clouds
271,Idritsa,RU,56.3316,28.8988,33.87,95,100,8.9,overcast clouds
272,Saint-Louis,SN,16.3333,-15.0,89.42,14,58,5.1,broken clouds
273,Hervey Bay,AU,-25.2986,152.8535,72.72,50,99,5.17,overcast clouds
274,Ugoofaaru,MV,5.6667,73.0,80.91,78,100,8.68,overcast clouds
275,Coquimbo,CL,-29.9533,-71.3436,69.53,60,40,10.36,scattered clouds
276,Port Lincoln,AU,-34.7333,135.8667,54.34,63,38,8.63,scattered clouds
277,Harnosand,SE,62.6323,17.9379,35.01,83,48,5.59,scattered clouds
278,Diego De Almagro,CL,-26.3667,-70.05,76.05,29,84,8.12,broken clouds
279,Bhadrachalam,IN,17.6667,80.8833,63.23,84,95,1.92,overcast clouds
280,Palmer,US,42.1584,-72.3287,41.86,51,75,6.91,broken clouds
281,Nara,JP,34.6851,135.8049,50.5,54,6,5.5,clear sky
282,Simao Dias,BR,-10.7383,-37.8111,76.77,72,70,14.79,broken clouds
283,Marawi,PH,7.9986,124.2928,68.25,94,99,1.43,overcast clouds
284,Vanavara,RU,60.34,102.2797,11.25,96,100,2.01,overcast clouds
285,Meadow Lake,US,34.8014,-106.5436,49.3,28,1,6.73,clear sky
286,Nanortalik,GL,60.1432,-45.2371,28.47,85,100,16.28,light snow
287,Kruisfontein,ZA,-34.0033,24.7314,59.88,79,70,9.89,broken clouds
288,Kouango,CF,4.9934,19.9619,73.94,60,68,2.1,broken clouds
289,Kingaroy,AU,-26.5333,151.8333,67.64,43,2,7.56,clear sky
290,Lagunas,PE,-5.2269,-75.6753,75.4,97,100,3.36,overcast clouds
291,Alofi,NU,-19.0595,-169.9187,82.29,78,75,9.22,broken clouds
292,Sobolevo,RU,54.4299,31.8996,34.5,98,100,4.63,overcast clouds
293,Tamiahua,MX,21.2667,-97.45,66.18,88,100,18.37,light rain
294,Saldanha,ZA,-33.0117,17.9442,66.25,79,99,4.54,light rain
295,Rio Grande,BR,-32.035,-52.0986,86.11,53,0,13.15,clear sky
296,Les Escoumins,CA,48.1111,-69.0236,27.75,86,54,2.95,broken clouds
297,Coihaique,CL,-45.5752,-72.0662,61.41,44,40,10.36,scattered clouds
298,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,64,75,4.47,broken clouds
299,Gilgit,PK,35.9221,74.3087,35.55,63,100,3.06,overcast clouds
300,Syktyvkar,RU,61.6764,50.8099,6.53,84,0,4.47,clear sky
301,Tiarei,PF,-17.5333,-149.3333,84.22,80,97,9.04,light rain
302,Tilichiki,RU,60.4667,166.1,23.04,95,100,10.65,light snow
303,Baykit,RU,61.67,96.37,1.83,97,100,2.86,light snow
304,San-Pedro,CI,4.7485,-6.6363,77.65,86,0,4.88,light rain
305,Ambon,ID,-3.6954,128.1814,78.94,89,40,5.75,scattered clouds
306,Constantine,DZ,36.365,6.6147,58.41,41,0,3.44,clear sky
307,La Ronge,CA,55.1001,-105.2842,26.85,74,75,5.75,light snow
308,Miraflores,MX,19.2167,-98.8083,78.98,33,5,8.43,clear sky
309,Ordynskoye,RU,54.3656,81.8994,32.5,94,100,19.46,light snow
310,Itarema,BR,-2.9248,-39.9167,78.94,69,24,15.86,few clouds
311,Peterhead,GB,57.5058,-1.7981,52.2,95,100,26.15,light rain
312,Talnakh,RU,69.4865,88.3972,-13.0,99,93,4.21,overcast clouds
313,Labuhan,ID,-6.8844,112.2051,79.21,83,100,3.78,overcast clouds
314,Batagay-Alyta,RU,67.8006,130.4114,-25.06,88,83,3.49,broken clouds
315,Lazaro Cardenas,MX,17.9583,-102.2,83.28,69,48,8.86,scattered clouds
316,Urucurituba,BR,-2.6833,-57.6667,91.38,44,87,3.24,overcast clouds
317,Haines Junction,CA,60.7522,-137.5108,31.95,80,100,3.44,overcast clouds
318,Hasaki,JP,35.7333,140.8333,48.22,79,25,9.91,scattered clouds
319,Ceres,US,37.5949,-120.9577,62.92,51,0,8.05,clear sky
320,Nukus,UZ,42.4531,59.6103,35.58,75,100,11.5,overcast clouds
321,Kamogawa,JP,35.1,140.1,52.14,84,5,6.58,clear sky
322,Fuyang,CN,32.9,115.8167,48.36,62,82,6.13,broken clouds
323,Syracuse,IT,37.0881,15.2792,62.31,70,71,8.86,broken clouds
324,Tsaratanana,MG,-16.7833,47.65,72.64,75,15,3.65,few clouds
325,Pavilosta,LV,56.8879,21.1859,40.91,70,88,18.14,overcast clouds
326,Nieuw Nickerie,SR,5.95,-56.9833,80.78,83,97,12.75,overcast clouds
327,Novikovo,RU,51.1537,37.8879,32.0,64,100,9.04,overcast clouds
328,La Palma,US,33.8464,-118.0467,76.19,33,20,11.5,few clouds
329,Toora-Khem,RU,52.4675,96.11,21.02,91,98,2.66,light snow
330,Hami,CN,42.8,93.45,36.75,37,83,5.7,broken clouds
331,Aksarka,RU,66.5606,67.7975,-9.99,89,24,6.33,few clouds
332,Henties Bay,NA,-22.116,14.2845,60.37,85,0,9.26,clear sky
333,Wanning,CN,18.8003,110.3967,75.36,92,30,4.61,scattered clouds
334,Victoria,HK,22.2855,114.1577,75.38,85,30,7.0,scattered clouds
335,Karratha,AU,-20.7377,116.8463,73.81,72,12,5.35,few clouds
336,Merauke,ID,-8.4667,140.3333,78.48,86,100,3.38,overcast clouds
337,Iguape,BR,-24.7081,-47.5553,72.77,65,0,8.28,clear sky
338,Allapalli,IN,19.4167,80.0667,57.43,64,0,2.13,clear sky
339,Aswan,EG,24.0934,32.907,69.1,32,0,6.91,clear sky
340,Te Anau,NZ,-45.4167,167.7167,59.77,74,100,3.58,overcast clouds
341,Ponnani,IN,10.767,75.9252,76.32,90,91,5.3,overcast clouds
342,Coffs Harbour,AU,-30.3,153.1333,66.16,68,0,8.05,clear sky
343,Jalu,LY,29.0331,21.5482,61.32,49,0,2.77,clear sky
344,Puiesti,RO,46.4167,27.5,39.88,91,100,6.22,overcast clouds
